numeor epoch;batch_size;nb_epochs;learning_rate;input_size;hidden_size;output_size;weight_init_range;Training Loss;Validation Loss;Test Loss;Accuracy
5;2;10;0,0075;784;128;10;(-0,001, 0,001);0,086768457;0,108360543;0,095567162;97,35714286
6;2;10;0,0075;784;128;10;(-0,001, 0,001);0,073404704;0,102086345;0,086078185;97,54285714
7;2;10;0,0075;784;128;10;(-0,001, 0,001);0,062477863;0,111051632;0,097340038;96,97142857
8;2;10;0,0075;784;128;10;(-0,001, 0,001);0,054549529;0,099877806;0,080150689;97,54285714
9;2;10;0,0075;784;128;10;(-0,001, 0,001);0,047343757;0,093972374;0,07636495;97,6
10;2;10;0,0075;784;128;10;(-0,001, 0,001);0,041311991;0,095006017;0,080690865;97,57142857
1;3;10;0,0075;784;128;10;(-0,001, 0,001);0,618726488;0,295107612;0,274431621;92,32857143
2;3;10;0,0075;784;128;10;(-0,001, 0,001);0,232738771;0,198928496;0,184544838;94,55714286
3;3;10;0,0075;784;128;10;(-0,001, 0,001);0,171347329;0,163771399;0,149853905;95,42857143
4;3;10;0,0075;784;128;10;(-0,001, 0,001);0,135622089;0,140041127;0,127688732;96,28571429
5;3;10;0,0075;784;128;10;(-0,001, 0,001);0,113405008;0,122322003;0,110337487;96,72857143
6;3;10;0,0075;784;128;10;(-0,001, 0,001);0,09630744;0,111339461;0,10284965;96,88571429
7;3;10;0,0075;784;128;10;(-0,001, 0,001);0,083564627;0,107311819;0,098579138;97,2
8;3;10;0,0075;784;128;10;(-0,001, 0,001);0,074145127;0,098648735;0,09059546;97,31428571
9;3;10;0,0075;784;128;10;(-0,001, 0,001);0,065811449;0,096708882;0,087004776;97,14285714
10;3;10;0,0075;784;128;10;(-0,001, 0,001);0,058801396;0,094200087;0,088279382;97,2
1;4;10;0,0075;784;128;10;(-0,001, 0,001);0,721354031;0,312789681;0,302936758;91,28571429
2;4;10;0,0075;784;128;10;(-0,001, 0,001);0,271272239;0,225196338;0,221666554;93,32857143
3;4;10;0,0075;784;128;10;(-0,001, 0,001);0,204106717;0,179755617;0,174876115;94,9
