"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy",""
"5","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.11918019167328","0.13271180242325","0.11496543691908","96.685714285714",""
"6","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.090924889854536","0.12837641428936","0.10889624667808","96.971428571429",""
"7","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.074005116052455","0.11320621438561","0.095679679602583","96.971428571429",""
"8","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.060347282647764","0.11076714173049","0.092598728807528","97.685714285714",""
"9","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.048570931882733","0.10527553629826","0.094380927607559","97.428571428571",""
"10","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.042179762896974","0.10118815820939","0.08457658114882","97.728571428571",""
"1","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","2.3018562457675","2.301282119978","2.3013496853965","10.842857142857",""
"2","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","1.5031872454917","0.63748591727681","0.64707659128308","77.228571428571",""
"3","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.39392956850818","0.26767999769865","0.25835296606682","91.8",""
"4","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.20374566080732","0.1660679137381","0.16536356823272","94.914285714286",""
"5","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.14813649539252","0.14697497150671","0.13716226090628","96.157142857143",""
"6","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.11720028721118","0.13094169150543","0.12173971683255","96.614285714286",""
"7","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.095728389242219","0.12201122354176","0.10757322489778","96.928571428571",""
"8","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.078996848348146","0.1146335095416","0.10032530945728","97.185714285714",""
"9","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.067914198064473","0.12035052283646","0.10670945906391","97",""
"10","4","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.05643205199563","0.10636023031716","0.091642887442903","97.328571428571",""
"1","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","2.3018678827182","2.3017166537898","2.3013251461302","10.842857142857",""
"2","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","1.880399459837","1.2911963922873","1.3101643483128","51.7",""
"3","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.80533503278423","0.37159960692386","0.36447130268074","89.2",""
"4","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.26525949654678","0.21163726408149","0.19090148223181","94.228571428571",""
"5","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.16671874651095","0.17667828184389","0.16220227754242","94.942857142857",""
"6","5","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.12602805812877","0.14586785135645","0.13325821745245","96.085714285714",""
